Jun 28 (Fri) 10:02 |     Goblin - La Via Della Droga (Seq.13 - Finale) (LIKED)
Jun 28 (Fri) 10:02 | === Logging stopped
Jul 29 (Mon) 14:25 | === Logging started
Jul 29 (Mon) 14:25 | >>> Station: SomaFM Groove Salad
Jul 29 (Mon) 14:25 |     Panorama - Selene
Jul 29 (Mon) 14:25 |     Panorama - Selene (LIKED)
Jul 29 (Mon) 14:25 | === Logging stopped
Jul 30 (Tue) 14:07 | === Logging started
Jul 30 (Tue) 14:07 | >>> Station: SomaFM Space Station
Jul 30 (Tue) 14:07 |     Tranquility Bass - Mya Yadana (Monkey Forest Medley)
Jul 30 (Tue) 14:07 |     Tranquility Bass - Mya Yadana (Monkey Forest Medley) (LIKED)
Jul 30 (Tue) 14:07 | === Logging stopped
Aug 01 (Thu) 17:48 | === Logging started
Aug 01 (Thu) 17:48 | >>> Station: Synphaera Radio (Space Music)
Aug 01 (Thu) 17:48 |     Remote Vision - Survey Pilot
Aug 01 (Thu) 17:48 |     Remote Vision - Survey Pilot (LIKED)
Aug 01 (Thu) 17:48 | === Logging stopped
Sep 04 (Wed) 13:32 | === Logging started
Sep 04 (Wed) 13:32 | >>> Station: SomaFM Groove Salad
Sep 04 (Wed) 13:32 |     Momma Gravy - Codeine Covered Cocktail Nuts
Sep 04 (Wed) 13:32 |     Momma Gravy - Codeine Covered Cocktail Nuts (LIKED)
Sep 04 (Wed) 13:32 | === Logging stopped
Sep 05 (Thu) 10:45 | === Logging started
Sep 05 (Thu) 10:45 | >>> Station: SomaFM Groove Salad
Sep 05 (Thu) 10:45 |     Capsula - To See I
Sep 05 (Thu) 10:45 |     Capsula - To See I (LIKED)
Sep 05 (Thu) 10:45 | === Logging stopped
Sep 05 (Thu) 14:33 | === Logging started
Sep 05 (Thu) 14:33 | >>> Station: SomaFM Groove Salad
Sep 05 (Thu) 14:33 |     Emancipator - Land & Sea (Feat. Molly Parti)
Sep 05 (Thu) 14:33 |     Emancipator - Land & Sea (Feat. Molly Parti) (LIKED)
Sep 05 (Thu) 14:33 | === Logging stopped
Sep 06 (Fri) 15:39 | === Logging started
Sep 06 (Fri) 15:39 | >>> Station: Rádio Bossa Nova Brazil
Sep 06 (Fri) 15:39 |     SERGIO MENDES - DESAFINADO
Sep 06 (Fri) 15:39 |     SERGIO MENDES - DESAFINADO (LIKED)
Sep 06 (Fri) 15:39 | === Logging stopped
Sep 09 (Mon) 09:20 | === Logging started
Sep 09 (Mon) 09:20 | >>> Station: SomaFM Groove Salad
Sep 09 (Mon) 09:20 |     Jaffa - Legz
Sep 09 (Mon) 09:20 |     Jaffa - Legz (LIKED)
Sep 09 (Mon) 09:20 | === Logging stopped
Sep 12 (Thu) 20:05 | === Logging started
Sep 12 (Thu) 20:05 | >>> Station: SomaFM Groove Salad
Sep 12 (Thu) 20:05 |     Global Communication - 8:07 (Maiden Voyage)
Sep 12 (Thu) 20:05 |     Global Communication - 8:07 (Maiden Voyage) (LIKED)
Sep 12 (Thu) 20:05 | === Logging stopped
Sep 16 (Mon) 11:07 | === Logging started
Sep 16 (Mon) 11:07 | >>> Station: SomaFM Space Station
Sep 16 (Mon) 11:07 |     Morphem - 15 Seconds
Sep 16 (Mon) 11:07 |     Morphem - 15 Seconds (LIKED)
Sep 16 (Mon) 11:07 | === Logging stopped
Sep 25 (Wed) 10:13 | === Logging started
Sep 25 (Wed) 10:13 | >>> Station: SomaFM Groove Salad
Sep 25 (Wed) 10:13 |     Sine - Between Seasons
Sep 25 (Wed) 10:13 |     Sine - Between Seasons (LIKED)
Sep 25 (Wed) 10:13 | === Logging stopped
Oct 08 (Tue) 16:24 | === Logging started
Oct 08 (Tue) 16:24 | >>> Station: SomaFM Groove Salad
Oct 08 (Tue) 16:24 |     dZihan & Kamien - Slowhand Hussein
Oct 08 (Tue) 16:24 |     dZihan & Kamien - Slowhand Hussein (LIKED)
Oct 08 (Tue) 16:24 | === Logging stopped
Oct 11 (Fri) 09:56 | === Logging started
Oct 11 (Fri) 09:56 | >>> Station: SomaFM Groove Salad
Oct 11 (Fri) 09:56 |     Journeyman - Latneiro (Woob's Sunrise Dub)
Oct 11 (Fri) 09:56 |     Journeyman - Latneiro (Woob's Sunrise Dub) (LIKED)
Oct 11 (Fri) 09:56 | === Logging stopped
Oct 11 (Fri) 13:58 | === Logging started
Oct 11 (Fri) 13:58 | >>> Station: SomaFM Groove Salad
Oct 11 (Fri) 13:58 |     Franco Molinari - Volare
Oct 11 (Fri) 13:58 |     Franco Molinari - Volare (LIKED)
Oct 11 (Fri) 13:58 | === Logging stopped
Oct 28 (Mon) 15:01 | === Logging started
Oct 28 (Mon) 15:01 | >>> Station: SomaFM Groove Salad
Oct 28 (Mon) 15:01 |     Quantic - The 5th Exotic
Oct 28 (Mon) 15:01 | === Logging stopped
Oct 28 (Mon) 15:01 | === Logging started
